symbol,last_date,rows
766KL46-SG,2025-07-31,3
766ML32-SG,2025-12-05,4
766UP32-SG,2026-04-22,4
767AP38-SG,2026-02-17,7
767AP38A-SG,2025-10-23,3
767AS32-SG,2025-09-04,4
767HP34-SG,2025-09-08,3
767HR35-SG,2025-11-10,2
767KA32-SG,2026-03-10,1
767KA36-SG,2025-11-07,2
767MP33-SG,2025-12-31,3
767NL33B-SG,2025-12-12,2
767RJ33-SG,2025-07-03,1
767WB37-SG,2025-12-08,8
768CG32-SG,2025-05-08,2
768GJ30-SG,2025-07-28,1
768KA31-SG,2026-03-04,5
768KA37-SG,2026-04-02,25
768TN30A-SG,2026-03-12,3
768UP32-SG,2026-02-04,1
768UP34-SG,2025-07-31,3
768UP34A-SG,2025-11-20,7
769GA32-SG,2025-08-08,2
769GS2043-GS,2026-04-20,35
769HR27-SG,2026-04-22,5
769HUDCO31-N9,2026-04-28,218
769IGT28-NH,2026-04-17,31
769KA33A-SG,2025-12-12,3
769NHAI31-NE,2026-04-28,270
76AP34-SG,2025-08-08,3
76GJ32-SG,2025-12-15,1
76GJ33-SG,2026-01-21,4
76HR39-SG,2026-03-11,3
76JK53A-SG,2025-06-20,3
76KA32-SG,2025-11-27,1
76KA38-SG,2025-10-27,5
76NHAI31-NA,2026-04-28,270
76TN31-SG,2026-04-08,6
76TN32-SG,2026-04-10,2
76TS43-SG,2026-04-22,4
771AP31-SG,2025-06-02,2
771AP33A-SG,2025-07-28,1
771AP37A-SG,2026-04-23,11
771JK48-SG,2025-09-23,7
771KA36-SG,2026-01-16,3
771KL43-SG,2026-04-20,4
771RJ33-SG,2025-06-09,1
771WB43-SG,2025-09-23,3
772GS2049-GS,2026-04-20,79
772GS2055-GS,2026-04-24,133
772HR33-SG,2025-12-29,8
772JK43-SG,2025-09-24,5
772KA35-SG,2025-12-30,3
772KA35A-SG,2026-04-08,13
772MH31-SG,2026-03-10,1
772MH34-SG,2026-02-04,5
772RJ33-SG,2025-11-03,2
772TN34-SG,2025-11-12,4
772TS36-SG,2025-07-31,2
772UP34-SG,2025-09-03,2
773AP32A-SG,2025-10-17,3
773BR38-SG,2026-01-20,7
773GA33-SG,2025-11-03,4
773GJ29-SG,2026-03-04,1
773KA34-SG,2025-11-20,7
773KA35-SG,2025-07-31,3
773KA35A-SG,2025-05-08,5
773KA36-SG,2025-07-31,3
773MH32-SG,2025-07-28,1
773MH36-SG,2025-10-28,1
773RJ38-SG,2025-12-31,2
773UP33A-SG,2025-11-07,4
773UP34-SG,2026-02-25,5
773UP35-SG,2025-09-02,7
774AP32A-SG,2025-12-02,4
774AP38-SG,2025-05-29,2
774AS33-SG,2026-03-30,2
774BR38-SG,2025-09-16,3
774GA32-SG,2025-07-01,1
774IREDA31-N7,2026-04-28,175
774KA34-SG,2025-10-30,6
774MZ33-SG,2025-08-14,5
774RJ40-SG,2025-07-14,1
774RJ49-SG,2025-08-26,4
774TS35-SG,2025-11-12,5
775AP29-SG,2026-02-05,3
775GA33-SG,2025-09-16,7
775HR35-SG,2025-03-25,1
775PN36-SG,2025-12-24,1
775PN42-SG,2025-09-12,4
775RJ35-SG,2025-07-30,1
775RJ36-SG,2026-03-30,2
775TS37-SG,2025-07-31,3
775UP33-SG,2026-02-17,8
775UP34-SG,2025-11-06,8
776KL35-SG,2025-10-10,5
776KL38-SG,2026-04-09,6
776MP37-SG,2025-07-31,3
776MP37A-SG,2025-12-11,3
776TN53-SG,2026-03-16,2
777GJ32-SG,2026-04-21,2
777HR36-SG,2025-07-31,1
777MN38-SG,2026-04-21,10
777PN33-SG,2025-11-27,11
777PN36-SG,2025-05-08,2
778AS34-SG,2025-08-11,7
778BR31-SG,2026-03-12,6
778MH30-SG,2026-02-17,3
779MH54-SG,2026-04-28,3
779PN36-SG,2026-04-10,4
779PN37-SG,2025-08-19,5
779TN32-SG,2025-10-07,8
77AP29A-SG,2026-03-27,10
77AP32-SG,2025-11-27,3
77AP38-SG,2025-08-11,4
77BR38-SG,2026-04-20,6
77GA33A-SG,2025-09-08,4
77KA33-SG,2026-02-27,3
77MH31-SG,2026-04-13,1
77MH33A-SG,2026-02-04,9
77PN40-SG,2025-12-22,2
77TS38-SG,2026-04-20,13
77UP33-SG,2025-05-08,1
77UP34-SG,2026-04-13,3
781GJ32-SG,2026-02-17,2
781HR32A-SG,2026-04-17,2
781UP32-SG,2025-09-29,2
782AS32A-SG,2026-04-15,1
782GJ32-SG,2026-04-21,2
782PN42-SG,2026-04-20,5
782TN32-SG,2026-02-04,1
783RJ50-SG,2025-12-02,2
784TN52-SG,2026-03-05,1
784TS39-SG,2026-02-11,3
785AP37-SG,2025-06-03,1
785BR32A-SG,2025-09-29,2
785WB42-SG,2025-07-23,2
787TN33-SG,2025-08-21,1
788GS2030-GS,2025-11-14,7
788MP33-SG,2026-02-04,4
789MH32-SG,2026-04-28,5
789WB40-SG,2026-02-04,1
