symbol,instrument_token,name,generated_date
LYKALABS,519169,LYKA LABS,2026-06-26
IRFC,519425,INDIAN RAILWAY FIN CORP L,2026-06-26
M&M,519937,MAHINDRA & MAHINDRA,2026-06-26
RAMCOCEM,523009,THE RAMCO CEMENTS,2026-06-26
INDIGOPNTS,524289,INDIGO PAINTS,2026-06-26
CHENNPETRO,524545,CHENNAI PETROLEUM CORP LT,2026-06-26
HOMEFIRST,526337,HOME FIRST FIN CO IND,2026-06-26
VTL,530689,VARDHMAN TEXTILES,2026-06-26
MAHSCOOTER,533761,MAHARASHTRA SCOOTERS,2026-06-26
MAHSEAMLES,534529,MAHARASHTRA SEAMLESS,2026-06-26
MANGLMCEM,539137,MANGALAM CEMENT,2026-06-26
STOVEKRAFT,539393,STOVE KRAFT,2026-06-26
MASTEK,543745,MASTEK,2026-06-26
MFSL,548353,MAX FINANCIAL SERV,2026-06-26
BDL,548865,BHARAT DYNAMICS,2026-06-26
RAJMET,555009,RAJNANDINI METAL,2026-06-26
AKG,557057,AKG EXIM,2026-06-26
BOSCHLTD,558337,BOSCH,2026-06-26
TSFINV,558849,TSF INVESTMENTS,2026-06-26
GENCON,560129,GENERIC ENG CONS PROJ,2026-06-26
MODIRUBBER,570625,MODI RUBBER,2026-06-26
MODTHREAD,573697,MODERN THREADS INDIA,2026-06-26
MOREPENLAB,578305,MOREPEN LAB.,2026-06-26
BANDHANBNK,579329,BANDHAN BANK,2026-06-26
IRISDOREME,582401,IRIS CLOTHINGS,2026-06-26
MRF,582913,MRF,2026-06-26
MRPL,584449,MRPL,2026-06-26
HLEGLAS,585985,HLE GLASCOAT,2026-06-26
MTNL,587265,MAHANAGAR TELEPHONE NIGAM,2026-06-26
HAL,589569,HINDUSTAN AERONAUTICS,2026-06-26
BESTAGRO,590337,BEST AGROLIFE,2026-06-26
MUNJALSHOW,590593,MUNJAL SHOWA,2026-06-26
MURUDCERA,592129,MURUDESHWAR CERAMICS,2026-06-26
HEIDELBERG,592897,HEIDELBERGCEMENT (I),2026-06-26
NCC,593665,NCC,2026-06-26
SMCGLOBAL,593921,SMC GLOBAL SECURITIES,2026-06-26
CPSEETF,595969,CPSE ETF,2026-06-26
JAYNECOIND,596737,JAYASWAL NECO INDUSTR,2026-06-26
NURECA,601601,NURECA,2026-06-26
NAVNETEDUL,610561,NAVNEET EDUCATION,2026-06-26
NELCO,611329,NELCO,2026-06-26
SANDHAR,613633,SANDHAR TECHNOLOGIES,2026-06-26
NEULANDLAB,615937,NEULAND LAB,2026-06-26
NILKAMAL,619777,NILKAMAL,2026-06-26
RAILTEL,622337,RAILTEL CORP OF IND,2026-06-26
NIRLON,622849,NIRLON,2026-06-26
CONSUMBEES,623361,NIPPON INDIA ETF CONSUMPTION,2026-06-26
NKIND,624385,NK INDUSTRIES,2026-06-26
NOCIL,625153,NOCIL,2026-06-26
CENTRUM,628225,CENTRUM CAPITAL,2026-06-26
MIDHANI,630529,MISHRA DHATU NIGAM,2026-06-26
ONGC,633601,OIL AND NATURAL GAS CORP.,2026-06-26
ONWARDTEC,635137,ONWARD TECHNOLOGIES,2026-06-26
SILGO,637953,SILGO RETAIL,2026-06-26
ORIENTHOT,638209,ORIENT HOTELS,2026-06-26
ORIENTPPR,638977,ORIENT PAPER AND INDS,2026-06-26
BCLIND,643329,BCL INDUSTRIES,2026-06-26
PGHH,648961,P&G HYGIENE & HEALTH CARE,2026-06-26
HUHTAMAKI,655873,HUHTAMAKI INDIA,2026-06-26
3PLAND,664321,3P LAND HOLDINGS,2026-06-26
AMJLAND,665089,AMJ LAND HOLDINGS,2026-06-26
LEMONTREE,667137,LEMON TREE HOTELS,2026-06-26
HERANBA,669185,HERANBA INDUSTRIES,2026-06-26
SEAMECLTD,669697,SEAMEC,2026-06-26
IT,672513,KOTAK NIFTY IT ETF,2026-06-26
DIVOPPBEES,674817,NIPPON INDIA ETF NIFTY DIVIDEND OPPORTUNITIES 50,2026-06-26
PFIZER,676609,PFIZER,2026-06-26
DRCSYSTEMS,677121,DRC SYSTEMS INDIA,2026-06-26
PCBL,678145,PCBL CHEMICAL,2026-06-26
PIDILITIND,681985,PIDILITE INDUSTRIES,2026-06-26
POLYPLEX,687873,POLYPLEX CORPORATION,2026-06-26
PRAJIND,692481,PRAJ INDUSTRIES,2026-06-26
PRAKASH,693249,PRAKASH INDUSTRIES,2026-06-26
PRECOT,694017,PRECOT,2026-06-26
BUTTERFLY,695297,BTRFLY GANDHI APPL,2026-06-26
PRECWIRE,695553,PRECISION WIRES INDIA,2026-06-26
PRSMJOHNSN,701185,PRISM JOHNSON,2026-06-26
JUBLINGREA,712449,JUBILANT INGREVIA,2026-06-26
EASEMYTRIP,714753,EASY TRIP PLANNERS,2026-06-26
RAJSREESUG,719105,RAJSHREE SUGAR & CHEMICAL,2026-06-26
ARVEE,720385,ARVEE LABORATORIES I,2026-06-26
RALLIS,720897,RALLIS INDIA,2026-06-26
ANURAS,724225,ANUPAM RASAYAN INDIA,2026-06-26
RANASUG,726273,RANA SUGARS,2026-06-26
LXCHEM,727297,LAXMI ORGANIC INDUS,2026-06-26
RANEHOLDIN,728065,RANE HOLDINGS,2026-06-26
CRAFTSMAN,730625,CRAFTSMAN AUTOMATION,2026-06-26
RAYMOND,731905,RAYMOND,2026-06-26
RCF,733697,RASHTRIYA CHEMICALS & FER,2026-06-26
HITECH,734209,HI-TECH PIPES,2026-06-26
RELIANCE,738561,RELIANCE INDUSTRIES,2026-06-26
RICOAUTO,744705,RICO AUTO INDUSTRIES,2026-06-26
RIIL,745473,RELIANCE INDUSTRIAL INFRA,2026-06-26
S&SPOWER,755457,S&S POWER SWITCHGEARS,2026-06-26
KALYANKJIL,756481,KALYAN JEWELLERS IND,2026-06-26
SAIL,758529,STEEL AUTHORITY OF INDIA,2026-06-26
SAKHTISUG,760065,SAKTHI SUGARS,2026-06-26
SURYODAY,760321,SURYODAY SMALL FIN BK,2026-06-26
ORIENTELEC,760833,ORIENT ELECTRIC,2026-06-26
